"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega"
41, 7.357766043930000e-02, 2.220446049250313e-16, 1.326679169639136e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876660244290583e+05, 1.000000000000000e-10, 2.785047219434825e+09
42, 7.834371614890000e-02, 2.220446049250313e-16, 1.326672603248504e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876653801401315e+05, 1.000000000000000e-10, 2.785066797172500e+09
43, 8.317027892560000e-02, 2.220446049250313e-16, 1.326666416859462e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876647690720677e+05, 1.000000000000000e-10, 2.785085211948684e+09
44, 8.805956585650000e-02, 2.220446049250313e-16, 1.326660400986012e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876641837122036e+05, 1.000000000000000e-10, 2.785103185250047e+09
45, 9.301387935570000e-02, 2.220446049250313e-16, 1.326654870327805e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876636132939910e+05, 1.000000000000000e-10, 2.785119469247025e+09
46, 9.803561182770000e-02, 2.220446049250313e-16, 1.326649249194004e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876630717632772e+05, 1.000000000000000e-10, 2.785136303846280e+09
47, 1.031272506240000e-01, 2.220446049250313e-16, 1.326644211801320e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876625465284115e+05, 1.000000000000000e-10, 2.785151093527218e+09
48, 1.082913833170000e-01, 2.220446049250313e-16, 1.326638931759987e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876620356233819e+05, 1.000000000000000e-10, 2.785166890301841e+09
49, 1.135307033110000e-01, 2.220446049250313e-16, 1.326634383503049e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876615492714450e+05, 1.000000000000000e-10, 2.785180154084484e+09
50, 1.188480158220000e-01, 2.220446049250313e-16, 1.326629590203866e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876610735132743e+05, 1.000000000000000e-10, 2.785194406065762e+09
51, 1.242462442510000e-01, 2.220446049250313e-16, 1.326625319861829e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876606061113626e+05, 1.000000000000000e-10, 2.785206779572073e+09
52, 1.297284369870000e-01, 2.220446049250313e-16, 1.326620725413126e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876601621380174e+05, 1.000000000000000e-10, 2.785220530080969e+09
53, 1.352977746630000e-01, 2.220446049250313e-16, 1.326616923307759e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876597287089500e+05, 1.000000000000000e-10, 2.785231418623706e+09
54, 1.409575779210000e-01, 2.220446049250313e-16, 1.326612471681685e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876592952763703e+05, 1.000000000000000e-10, 2.785244717659727e+09
55, 1.467113157020000e-01, 2.220446049250313e-16, 1.326609001816839e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876588775842321e+05, 1.000000000000000e-10, 2.785254490345012e+09
56, 1.525626141330000e-01, 2.220446049250313e-16, 1.326604635181129e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876584745960683e+05, 1.000000000000000e-10, 2.785267700437711e+09
57, 1.585152660350000e-01, 2.220446049250313e-16, 1.326601350432895e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876580752456330e+05, 1.000000000000000e-10, 2.785276922589560e+09
58, 1.645732411200000e-01, 2.220446049250313e-16, 1.326597418767283e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876576781943905e+05, 1.000000000000000e-10, 2.785288562730441e+09
59, 1.707406969350000e-01, 2.220446049250313e-16, 1.326594355774079e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876572955727146e+05, 1.000000000000000e-10, 2.785297086359648e+09
60, 1.770219906140000e-01, 2.220446049250313e-16, 1.326590366546677e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876569242246302e+05, 1.000000000000000e-10, 2.785309131344261e+09
61, 1.834216915030000e-01, 2.220446049250313e-16, 1.326587600087084e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876565519349886e+05, 1.000000000000000e-10, 2.785316631363438e+09
62, 1.899445947530000e-01, 2.220446049250313e-16, 1.326583683223432e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876561814757624e+05, 1.000000000000000e-10, 2.785328414513637e+09
63, 1.965957359540000e-01, 2.220446049250313e-16, 1.326581239491133e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876558233370054e+05, 1.000000000000000e-10, 2.785334822063089e+09
64, 2.033804069020000e-01, 2.220446049250313e-16, 1.326577187327487e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876554760092461e+05, 1.000000000000000e-10, 2.785347279422686e+09
65, 2.103041726230000e-01, 2.220446049250313e-16, 1.326574734404295e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876551267276344e+05, 1.000000000000000e-10, 2.785353786995316e+09
66, 2.173728897500000e-01, 2.220446049250313e-16, 1.326571192444482e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876547760254711e+05, 1.000000000000000e-10, 2.785364325862538e+09
67, 2.245927263960000e-01, 2.220446049250313e-16, 1.326569165031212e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876544339646096e+05, 1.000000000000000e-10, 2.785369307943889e+09
68, 2.319701836540000e-01, 2.220446049250313e-16, 1.326565013895830e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876541050178846e+05, 1.000000000000000e-10, 2.785382269524938e+09
69, 2.395121189030000e-01, 2.220446049250313e-16, 1.326563293941843e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876537767827456e+05, 1.000000000000000e-10, 2.785386213316309e+09
70, 2.472257710730000e-01, 2.220446049250313e-16, 1.326559297944176e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876534417352995e+05, 1.000000000000000e-10, 2.785398553903802e+09
71, 2.551187880890000e-01, 2.220446049250313e-16, 1.326557678698082e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876531116130069e+05, 1.000000000000000e-10, 2.785402109939072e+09
72, 2.631992566980000e-01, 2.220446049250313e-16, 1.326553539094367e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876527937284887e+05, 1.000000000000000e-10, 2.785415111214569e+09
73, 2.714757349350000e-01, 2.220446049250313e-16, 1.326551975338669e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876524809145110e+05, 1.000000000000000e-10, 2.785418589989121e+09
74, 2.799572875080000e-01, 2.220446049250313e-16, 1.326548311843339e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876521608956377e+05, 1.000000000000000e-10, 2.785429808445186e+09
75, 2.886535243940000e-01, 2.220446049250313e-16, 1.326546799426681e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876518404517305e+05, 1.000000000000000e-10, 2.785433040024148e+09
76, 2.975746430190000e-01, 2.220446049250313e-16, 1.326542815910786e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876515264197175e+05, 1.000000000000000e-10, 2.785445490860998e+09
77, 3.067314743950000e-01, 2.220446049250313e-16, 1.326541438289236e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876512236869753e+05, 1.000000000000000e-10, 2.785448353793317e+09
78, 3.161355336610000e-01, 2.220446049250313e-16, 1.326537755270036e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876509201943424e+05, 1.000000000000000e-10, 2.785459767768092e+09
79, 3.257990755320000e-01, 2.220446049250313e-16, 1.326536552266199e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876506082609413e+05, 1.000000000000000e-10, 2.785461914229512e+09
80, 3.357351552200000e-01, 2.220446049250313e-16, 1.326532363886756e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876502990468220e+05, 1.000000000000000e-10, 2.785475161485451e+09
81, 3.459576954530000e-01, 2.220446049250313e-16, 1.326531196507389e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876499984318418e+05, 1.000000000000000e-10, 2.785477259877664e+09
82, 3.564815603450000e-01, 2.220446049250313e-16, 1.326527607146337e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876497038262886e+05, 1.000000000000000e-10, 2.785488392494900e+09
83, 3.673226369200000e-01, 2.220446049250313e-16, 1.326526622116535e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876494035027698e+05, 1.000000000000000e-10, 2.785489816253826e+09
